,symbol,ID,GrupID,PF14,PF19,PF23,PF39,PF46,PF15,PF32,PF33,PF43,PF47
212692_s_at,LRBA,212692_s_at,2,10.0790795042275,10.4016157717112,10.5521926312142,10.6589581637338,10.6812664394609,10.0288122896788,10.2662498787208,10.5843311555245,10.4997521276552,10.8888320428658
208788_at,ELOVL5,208788_at,2,11.5635547508472,10.8078867455711,11.755324964093,12.3097498374548,12.4211631199312,11.2971168053212,11.9234497074411,11.6424226692772,11.2615782435453,12.7317588393357
207700_s_at,NCOA3,207700_s_at,2,8.45685443391673,8.46404546002941,8.53249961579573,8.67502692725331,9.74657888889432,8.22191859174721,8.23080892746406,8.29069229380137,9.08566267427001,9.68871495891066
203343_at,UGDH,203343_at,2,11.2937508795835,10.0272405714415,10.5189880374782,11.6217168542801,11.850442113695,10.6441103616302,10.3740758274663,10.4965794492086,11.5473953973035,11.6106494579424
221276_s_at,SYNC,221276_s_at,2,5.33055292381752,5.70016209812842,7.2232447406521,7.3601547834298,5.78159626464056,5.1034463658014,5.50856043875176,6.10262010668896,6.5792492844229,6.69625898548366
218434_s_at,AACS,218434_s_at,2,8.98084395874286,8.78035831315668,10.4127643922695,11.2014260230496,10.1707882081673,9.00411007628661,9.15863089816194,9.58309684351068,9.18872972267369,9.3948876703165
202870_s_at,CDC20,202870_s_at,2,7.91766220080186,8.26416542579395,8.5781076353761,8.2086124446203,8.43640914853449,8.42177331454441,7.79360307840206,6.96389981652379,8.80405936280972,9.06095022391589
212492_s_at,KDM4B,212492_s_at,2,8.10578152222468,8.19160293260073,8.89896971617436,9.12097802144374,8.25784713616015,8.35075000011294,8.12942626743995,8.15351548217998,8.02855145879522,8.07953945818074
209624_s_at,MCCC2,209624_s_at,2,8.29982023131599,8.50239050942424,9.30755157617006,10.3684240218892,7.84918136768243,8.48486428954318,7.7781772947475,8.53720339731824,7.9776419015439,7.74734891086516
215856_at,SIGLEC15,215856_at,2,8.01382772676601,7.96537920788122,8.9486791493698,9.67376432580606,7.60744289810872,7.39775615716182,7.46272850810197,7.26364576049642,7.35879134678835,7.45702071991097
209917_s_at,TP53TG1,209917_s_at,2,7.61295123423354,7.1976569714477,8.77668306834392,8.84976305460083,7.24266864637019,6.66575468472852,6.41843229865709,6.95848817703305,6.65724664970193,6.54408169327375
219587_at,TTC12,219587_at,2,7.79482606818485,8.506971578745,8.5528293885796,10.074171451603,6.8559262942945,7.39088889034348,7.50268630107772,7.15109353124014,6.68707224909279,7.95951842177849
219266_at,ZNF350,219266_at,2,6.72907485871078,7.39894511506946,7.54503751559813,8.8341094963055,6.48679428001469,6.69328020944658,6.41612173515876,6.53577137284881,6.70514251413668,6.91431343505208
204579_at,FGFR4,204579_at,2,6.7569685476803,8.22681558467993,8.47623128670568,8.55305985573814,6.4374388073326,7.31761293959386,7.51409266328738,6.11234053472554,6.13091926981723,6.20395032365198
213508_at,SPTSSA,213508_at,2,10.7862342551896,9.71059396184638,11.4263663653965,10.9583509774919,9.892662691338,8.9383466977043,9.29288056713171,10.2529480122374,8.94759980923257,9.22356906683809
203814_s_at,NQO2,203814_s_at,2,10.2597033461418,9.80330111685328,10.1626299037249,11.1857954732403,8.77596771423537,7.79485954289549,9.54230741094396,9.4591598108613,8.68774175551231,8.97957012998489
210886_x_at,TP53TG1,210886_x_at,2,8.94509470952126,8.81493994270659,9.81254727363132,9.61456914069723,8.51132902701526,8.3382790841204,7.77162591983608,8.44072781905711,8.52793640122182,8.09517997749776
210241_s_at,TP53TG1,210241_s_at,2,8.14306853357028,8.16769973128084,9.14358878273682,8.48548794372701,7.46559446809807,7.56038512436088,7.07976646915766,7.40947522964672,7.76079016119032,7.16994186631227
203222_s_at,TLE1,203222_s_at,2,7.78790697320625,7.84820432339526,8.2182183604873,7.31269780666515,6.76762102445677,6.74266808386613,6.41113751212557,6.54425216804587,6.29616479911143,6.3875363589931
217889_s_at,CYBRD1,217889_s_at,2,8.23157709178236,8.45767303918047,10.1240480833686,8.23297952342059,8.92550709672494,7.26174004057449,7.22170677939833,8.10181134608022,7.97294202022056,8.02372896014093
214733_s_at,YIPF1,214733_s_at,2,9.64569237349719,10.1714362553813,10.8255779588273,9.97506095537496,9.88891418582786,9.00667403282252,9.05133777674085,9.16726791127893,9.56580351443002,9.90170502309334
215696_s_at,SEC16A,215696_s_at,2,9.92368333896309,10.8290095072182,10.2453186757677,10.5749594184217,10.1011121185672,10.2299760014571,9.71873364212374,10.1247743108864,10.1342346886625,9.2326261515515
208682_s_at,MAGED2,208682_s_at,2,10.7831898297171,11.4308060286449,11.5157694478474,11.0540263602183,10.5885964472918,11.0098850858519,10.2559029003112,11.0615057967967,10.3543318044534,9.76436374010443
209049_s_at,ZMYND8,209049_s_at,2,8.39397962122204,8.83929002254352,9.3154386129969,9.36221251712588,8.2468378323121,9.37402821587917,8.0393934645892,8.50647622208859,8.37002207674937,7.67967235689125
209048_s_at,ZMYND8,209048_s_at,2,8.87902549052891,9.16984449279294,9.58517322290614,9.83869149954139,9.05498731893809,9.8940778460077,8.49552406959163,8.84863648907305,8.42303001296808,7.86449433633964
214079_at,DHRS2,214079_at,2,10.6325616511419,11.5801872085761,12.5036753567783,12.393889589719,10.9756765310421,11.2063419204341,10.4436806193178,10.6828929303722,5.87232368003725,5.94438718317681
206463_s_at,DHRS2,206463_s_at,2,9.6646255626731,11.0668402452479,12.5735723845891,12.33825759279,10.3082412280222,10.5694885397843,9.19573618442078,9.81916983125162,7.71744056824061,7.66773055899609
200868_s_at,RNF114,200868_s_at,2,9.38174970953632,10.0818022550991,10.6269300155437,9.91746010317573,9.65360768827658,9.69046139252042,9.03718280781974,8.65158049971476,8.29998693486433,8.75007286576734
205164_at,GCAT,205164_at,2,8.57534023230432,8.77432335333642,9.39856468026362,9.21409230845772,8.830591399525,8.6193177900531,7.55707929299493,8.50561239334955,7.7849431288898,7.87525027888061
204942_s_at,ALDH3B2,204942_s_at,2,10.3712479093912,10.7271425795206,11.4537359684507,12.1759301992134,11.7070704290491,10.667720064886,8.84685916789139,9.35389819216995,8.35075819485838,8.47844454693478
221927_s_at,ABHD11,221927_s_at,2,9.63987930146428,10.0610234011099,9.79951043780284,10.4722645422477,9.48345592437074,9.88424891784002,8.52626566785325,8.81559904962154,9.71930077720221,8.68016273248569
202109_at,ARFIP2,202109_at,2,10.093836319742,10.3488948535773,9.72236915192846,10.2855676460757,9.82399607025329,9.61841127890227,8.52301359181265,9.38694649087054,9.87038138844224,9.0757570154587
213627_at,MAGED2,213627_at,2,10.7247248221156,10.7732721220824,10.8073347448372,10.951169086518,10.2610161802254,10.4671729644645,10.1428904700905,10.6562788939246,10.284007452455,9.75340334335585
204306_s_at,CD151,204306_s_at,2,9.95189281671227,9.62648910617201,9.60236104764211,10.377125656739,9.03710662663898,9.31402290806997,8.56545096056606,9.59893574180873,9.19980028631008,8.57800985117579
74694_s_at,RABEP2,74694_s_at,2,8.38405464974993,7.98969145524216,7.76293289563976,8.38640649287724,7.23160561240406,7.78677855300816,6.58159350692159,7.52038477309284,7.84214916913639,6.23465100054954
221489_s_at,SPRY4,221489_s_at,2,10.1191979982677,9.80997416984205,9.5434779235941,10.7723165456204,9.84887438911803,9.13769392948112,8.70796763052625,8.89055978673689,9.00179932055454,8.98116946172982
208872_s_at,REEP5,208872_s_at,2,11.8659212971943,11.1722053889809,11.117570210657,12.4532543886081,11.0676779406369,10.4862055712343,9.42854563220114,10.6457506999053,10.0267633795365,9.62862416948897
202862_at,FAH,202862_at,2,10.1867532553618,8.72685066974872,8.0666072239942,9.91339825049359,8.75486082204063,8.03777585809611,7.66840867633374,8.42074443380126,7.71876990337466,7.14064955575601
202528_at,GALE,202528_at,2,9.08886524811805,9.04525194975706,8.19321256290921,9.49606958556806,8.25332080666065,8.39606019472491,7.82833600950702,7.71453746128283,8.14072282953914,7.47441028636885
220192_x_at,SPDEF,220192_x_at,2,10.4842954543592,10.9148465540222,10.5108195983022,11.5099584252558,10.26518621518,10.3433408879479,9.60597461072177,10.238040257367,10.1973750658783,10.1548738461106
214404_x_at,SPDEF,214404_x_at,2,10.2436916805046,10.5715953820456,10.0960960762634,11.1452166219728,9.76757376394358,9.91496312270272,9.4017032248443,9.90650664593477,9.76757028082625,9.72820967488778
213441_x_at,SPDEF,213441_x_at,2,10.5809980299126,10.6209457900934,10.2752700290249,11.1006016603587,10.4707254598925,10.4734538032383,10.0932570795044,10.2154099273007,10.2337466578934,10.264118888352
217973_at,DCXR,217973_at,2,10.0383190088165,11.4839939087059,10.5612440655567,11.7340340959417,11.1415569286761,10.3979688497701,9.48242361530901,10.411711027677,10.2783410725343,9.67311495701346
208180_s_at,HIST1H4H,208180_s_at,2,7.14158940536238,8.50680665112152,7.20215524780974,9.66560958325791,9.19547477748422,7.84507813437316,5.94337418443209,7.11423781528815,7.46992265977213,6.36931167383199
201095_at,DAP,201095_at,2,10.3125603772521,11.3874826478453,9.93587327033721,10.8179359406276,11.599287628761,9.34764534818887,8.64214164573708,9.97211438261954,9.17823522997448,9.26738963718075
212458_at,SPRED2,212458_at,2,9.00001612511117,9.47474665847623,9.4388539883588,9.71642117247458,9.31718113392184,8.53266566131948,8.44807794106347,9.2557588514194,8.88904966039405,8.49236347139641
202942_at,ETFB,202942_at,2,10.6130994484399,10.5926839113895,11.1535317480333,11.6834313879186,11.2043529728555,9.37484707120976,9.14340730399385,9.94202267234806,10.1836680173377,9.16198039161276
213341_at,FEM1C,213341_at,2,8.78054723245609,10.7967563525328,9.11244972350418,9.42864081888575,8.71184381910519,7.68535241418247,7.93980797082068,9.19400554749437,7.98760075082333,7.46490405466256
204669_s_at,RNF24,204669_s_at,2,9.46765478827914,10.4573891175283,9.73533308877568,9.57871245446434,9.16265263019046,8.58308476784597,8.57572145683042,8.75445328625334,8.76549427571189,8.61191852714048
218159_at,DDRGK1,218159_at,2,10.5538996601249,10.9950532951154,10.183527655133,10.7718723527854,10.0255012222451,10.0081354454201,9.44552679156105,9.86782883785984,9.8569401229802,9.63724049421467
210445_at,FABP6,210445_at,2,7.44189835967659,8.15529561131071,6.4994615021644,7.47989158264205,6.93217616619898,6.38024797195689,5.98118882851631,6.28440561870748,6.14102396328261,6.44818171737902
222258_s_at,SH3BP4,222258_s_at,2,10.952863842002,11.4497385069985,10.78797385755,11.2892975925583,10.56424827014,10.1195083489496,10.0714748343616,10.5302407346306,10.2321128210348,10.551393811997
