,SymbolsA,EntrezsA,logFC,AveExpr,t,P.Value,adj.P.Val,B,logFC validation,A,L,GSM26878.CEL,GSM26883.CEL,GSM26887.CEL,GSM26903.CEL,GSM26910.CEL,GSM26879.CEL,GSM26896.CEL,GSM26897.CEL,GSM26907.CEL,GSM26911.CEL
205009_at,NA,NA,-4.7350496224473,8.69247769304976,-10.6830329078235,4.68965678160786e-09,4.4015603362872e-05,10.3713421060299,-4.7350496224473,7.44555193846541,12.1806015609127,7.63461131316646,9.43842980477797,6.45795433078023,6.57557995633662,7.12118428726578,12.7914635360055,11.6952399941614,12.899621178234,11.9823957634268,11.5342873327358
205862_at,NA,NA,-3.95856267274602,6.0828354590275,-10.1046477729305,1.08534025743586e-08,4.4015603362872e-05,9.67898409696988,-3.95856267274603,4.7018947412927,8.66045741403872,4.54840998549348,4.60998824535586,4.9191634696115,4.6870351762655,4.74487682973715,9.78604269081059,9.70479658123866,7.82067469094609,7.22165771842323,8.76911538877503
205225_at,NA,NA,-3.96493867506738,9.30054557434598,-9.9676279086754,1.33084872090925e-08,4.4015603362872e-05,9.50871327124823,-3.96493867506738,7.97034505972192,11.9352837347893,8.04917025724954,7.08073337172239,8.80570750742876,7.37062445924816,8.54548970296075,11.7011383923621,12.25660693461,12.0805462826092,11.3397381010087,12.2983889633565
209443_at,NA,NA,-2.19839158119141,7.58622560370509,-8.68272965127722,9.98238116927448e-08,0.000247612964903854,7.787388210308,-2.19839158119141,6.8751500269679,9.0735416081593,7.04082918051455,6.9630016310826,6.45795433078023,6.65303769867886,7.26092729378322,9.19574757021337,9.17329788649405,9.29090566906781,8.08403946997677,9.62371744504452
205696_s_at,NA,NA,-2.33378493684471,6.23987560333499,-7.71300727706067,5.21599076027959e-07,0.000761601690002423,6.32822769673501,-2.33378493684471,5.47662662119552,7.81041155804023,5.61686354007184,5.53337384505793,5.49908762126823,5.1399422408402,5.59386585873941,8.84958303662942,8.56061229420627,7.48472157726388,7.09750521722797,7.0596356648736
217528_at,NA,NA,4.42925390319951,6.76310069182024,7.6908147614681,5.42486767582509e-07,0.000761601690002423,6.29313054923026,4.42925390319951,10.1135474223939,5.68429351919437,10.5339461053776,10.0360217827228,11.3255778529753,8.05348155382427,10.6187098170695,4.94593904831678,7.84772272830108,6.14816323744438,4.52136200999901,4.95828057191063
203060_s_at,NA,NA,2.98973499942438,9.58752407585848,7.52320420616726,7.31298462997563e-07,0.000761601690002423,6.0255436755655,2.98973499942438,11.4349208747132,8.44518587528885,11.9007124334493,11.1238201007294,10.8618520121479,11.2794780460378,12.0087417812018,7.80699534756015,8.45633064713862,8.2963152357006,8.21562021925563,9.45066792678923
217276_x_at,NA,NA,3.3258544384889,8.85410249573978,7.49299590758623,7.72047841795744e-07,0.000761601690002423,5.97684328865765,3.32585443848891,11.3312761394227,8.00542170093383,11.3022782520634,9.4673703451922,11.0152445733994,12.5666080402946,12.304879486164,7.86946890128746,8.11123552629395,7.63497723012713,8.99368706247787,7.41773978448274
209787_s_at,NA,NA,-1.52830594882846,9.87129818602029,-7.48976171172525,7.76548601648768e-07,0.000761601690002423,5.97162068117888,-1.52830594882847,8.68749174672697,10.2157976955554,8.66318108145193,8.52921536033064,8.85169918733074,8.81036065170359,8.58300245281795,9.54198711656188,10.3969094549004,10.4032897851652,10.3938525684119,10.3429495527377
203058_s_at,NA,NA,2.93189743815442,8.99179642765637,7.47103806404581,8.03147285184377e-07,0.000761601690002423,5.94135290104502,2.93189743815442,10.9306932820979,7.9987958439435,11.2053436617152,10.7398238295711,10.1674548103601,10.5055555304091,12.0352885784341,7.56157908718358,7.86497639137414,7.58187391884989,7.73928257606174,9.24626724624814
217284_x_at,NA,NA,3.3321495914829,9.13330724566698,7.44327414004013,8.44347771621311e-07,0.000761601690002423,5.896368407301,3.3321495914829,11.6817292291844,8.34957963770151,11.7265729986124,9.74072008740223,11.4360349744468,12.8188123758691,12.6865057095916,8.08820228020747,8.53408512519031,7.97277908936281,9.36240823474953,7.79042345899744
206165_s_at,NA,NA,4.14867862800038,8.15249712846581,7.29239440360507,1.11013430879718e-06,0.000917896050990466,5.64975831860038,4.14867862800038,11.3689910236578,7.22031239565738,11.907238970755,10.9689668664997,12.4424070271013,9.60183876416373,11.924503489769,6.16836774840601,9.5079444359454,7.56649676852148,6.06217277224685,6.79658025316714
214451_at,NA,NA,3.67508836904281,7.43282304943528,7.09824307941996,1.5859126010312e-06,0.00121041729441782,5.3270699881414,3.67508836904281,10.5462054445821,6.87111707553933,10.1769196442276,10.0603908239576,11.2011400821682,10.8888253205744,10.4037513519829,5.00100973726427,5.77997923430927,7.18955369358616,7.32790585441884,9.05713685811811
209799_at,NA,NA,1.87583458245411,6.09087151252176,6.96876714609667,2.0175091389782e-06,0.00142983754835298,5.10852017654827,1.87583458245411,7.25721994862828,5.38138536617416,7.10581062551621,6.15931672573976,8.04551425497904,7.17387554474219,7.80158259216418,5.47339228246946,5.35115104501643,5.22550331739492,5.40845224564712,5.44842794034288
219197_s_at,NA,NA,-1.51461355496022,8.01480201696556,-6.76225140423114,2.97579036740035e-06,0.00184365811502595,4.75437434184812,-1.51461355496022,7.55499158946427,9.06960514442449,7.74424683910518,7.43777644036187,7.61514393018509,7.19656374232419,7.78122699534503,9.67107048845489,8.80684186986679,8.7575610896488,9.34478569799312,8.76776657615883
203740_at,NA,NA,1.71380764601636,10.9084391325635,6.74095911489674,3.09847603511278e-06,0.00184365811502595,4.71747315345534,1.71380764601636,12.0026428957389,10.2888352497225,11.6974444325161,11.6570668547892,12.1741213359061,12.4885060350739,11.996075820409,10.417531345993,10.9602687337199,9.80869163449918,9.88835256049021,10.3693319739102
206164_at,NA,NA,3.27323736059914,7.0121679534061,6.73079887768889,3.1588578870632e-06,0.00184365811502595,4.69983916245997,3.27323736059913,9.36269851066796,6.08946115006883,9.50671999263863,9.09252118178259,10.8933090260842,7.29741423269703,10.0235281201373,5.66205184680752,7.23930730093389,6.20249567430713,5.43531163833173,5.90813928996386
221505_at,NA,NA,-2.07314931813557,9.67358521059631,-6.69947435441266,3.35282189616858e-06,0.00184814993632137,4.6453689958665,-2.07314931813557,8.0987389993545,10.1718883174901,8.88752358415488,8.55684083294942,8.1466594382681,7.47007439159202,7.43259674980808,10.2302619978118,10.481477271416,9.52595800327672,10.1485113804871,10.4732329344588
209603_at,NA,NA,-2.451411811711,8.58425415384381,-6.66992274304262,3.54714785715953e-06,0.0018523579494072,4.59383830701438,-2.451411811711,8.19491065267416,10.6463224643852,8.32416668612496,8.54295231342527,9.00262326260903,7.38121853405509,7.72359246715643,11.1558382658202,10.4459643617859,10.6401327254355,10.5004108536059,10.4892661152783
211682_x_at,NA,NA,3.47084938099243,8.57563671253186,6.56645247152699,4.32473655956892e-06,0.00214550180720214,4.41231646787125,3.47084938099243,11.1707204725692,7.69987109157673,11.6181635026568,10.779730574723,11.644801789306,9.18644212374612,12.6244643724139,6.97420701288651,6.75367743929723,9.16245640631447,7.1334208504068,8.47559374897866
