,SymbolsA,EntrezsA,logFC,AveExpr,t,P.Value,adj.P.Val,B,logFC validation,B,L,GSM26888.CEL,GSM26889.CEL,GSM26892.CEL,GSM26898.CEL,GSM26906.CEL,GSM26879.CEL,GSM26896.CEL,GSM26897.CEL,GSM26907.CEL,GSM26911.CEL
204667_at,NA,3169,-2.9610419446725,8.65115658718476,-14.3108185198392,4.81467438323733e-11,2.9159939736919e-07,14.2643730601974,-2.9610419446725,6.65136135400296,9.61240329867546,6.48379228710839,6.55134491121946,7.00116149483404,6.68506224051801,6.53544583633489,9.41169316218646,9.11972213722359,10.1964718583651,9.52264830676415,9.81148102883797
215729_s_at,NA,51442,3.744599288766,6.13759460387285,14.1340928009473,5.8778350608585e-11,2.9159939736919e-07,14.1135171409971,3.744599288766,8.53655768839279,4.79195839962679,8.26586963394537,8.96267919728921,8.3042470730772,8.76866776720214,8.38132477045005,4.8509023875565,4.93163229768219,4.65929470784214,4.72155732738698,4.79640527766614
205009_at,NA,7031,-5.72932198114157,8.69247769304976,-12.9262711363979,2.43856871776015e-10,8.06515960587208e-07,13.0107776108018,-5.72932198114157,6.45127957977115,12.1806015609127,6.5187988127161,6.70107643535141,6.59164516147643,6.30535079121195,6.13952669809984,12.7914635360055,11.6952399941614,12.899621178234,11.9823957634268,11.5342873327358
209604_s_at,NA,2625,-3.67759626862109,10.7464043783828,-10.6230871750377,5.10764628426773e-09,1.26695166081261e-05,10.5093749216658,-3.67759626862109,8.93730220541664,12.6148984740377,8.29969559012577,9.40271516494564,9.73240659786182,7.7036603393494,9.54803333480057,12.952051975673,12.4832215883437,12.4589644399001,12.6194588141729,12.560795552099
209603_at,NA,2625,-3.73479311991305,8.58425415384381,-10.1618102075148,9.97415900177804e-09,1.97927211231283e-05,9.93583389323472,-3.73479311991304,6.91152934447211,10.6463224643852,6.15393356028213,7.71707687071136,7.47391512431327,5.82417532878808,7.38854583826573,11.1558382658202,10.4459643617859,10.6401327254355,10.5004108536059,10.4892661152783
205225_at,NA,2099,-3.93927580626259,9.30054557434598,-9.90311293170392,1.46599382953972e-08,2.42426512944885e-05,9.60241101163868,-3.93927580626259,7.99600792852671,11.9352837347893,7.59515338894359,7.57112667800556,9.16367588772874,7.00068123509643,8.64940245285925,11.7011383923621,12.25660693461,12.0805462826092,11.3397381010087,12.2983889633565
205862_at,NA,9687,-3.77430319228764,6.0828354590275,-9.63430605984511,2.20431888398463e-08,3.12446456669936e-05,9.24670261727537,-3.77430319228764,4.88615422175108,8.66045741403872,4.7983522083187,5.41037771413619,4.81442944963815,4.39785451740536,5.00975721925702,9.78604269081059,9.70479658123866,7.82067469094609,7.22165771842323,8.76911538877503
218211_s_at,NA,79083,-2.8084080639582,10.9327692345868,-8.9401636397937,6.56429055123236e-08,7.23746608153456e-05,8.28279590488179,-2.8084080639582,9.10253871005986,11.9109467740181,8.91010725246772,9.45502318586998,8.9679173393438,9.31586186109718,8.86378391152061,12.1059809550751,11.1635785598326,12.92468235391,12.3119024241856,11.0485895770869
209443_at,NA,5104,-2.26355643217122,7.58622560370509,-8.94010362808113,6.56492589536495e-08,7.23746608153456e-05,8.28270966067464,-2.26355643217122,6.80998517598808,9.0735416081593,6.9008053616535,6.66771962552748,6.61980653365488,7.06137844902787,6.80021591007668,9.19574757021337,9.17329788649405,9.29090566906781,8.08403946997677,9.62371744504452
220192_x_at,NA,25803,-2.38721457266744,9.5218828479889,-8.73461116304834,9.16777916381531e-08,9.09627048633755e-05,7.98436481638913,-2.38721457266744,7.72070636093768,10.1079209336051,7.82396082534421,7.80975247415513,7.52220272851932,8.42722116318851,7.02039461348126,10.3433408879479,9.60597461072177,10.238040257367,10.1973750658783,10.1548738461106
205696_s_at,NA,2674,-2.37782292727101,6.23987560333499,-7.85854996836128,4.03834245924106e-07,0.000325399882172723,6.64268214755898,-2.37782292727101,5.43258863076922,7.81041155804023,5.47991699724341,5.38614494798705,5.2892833489559,5.69634961000079,5.31124824965892,8.84958303662942,8.56061229420627,7.48472157726388,7.09750521722797,7.0596356648736
205044_at,NA,2568,4.7467587331201,8.42325372276683,7.85049887348096,4.09561599197412e-07,0.000325399882172723,6.62981492651695,4.7467587331201,11.8809087530141,7.13415001989398,10.1377421874583,12.7800979871862,12.3469681158715,12.1559089965282,11.9838264780262,6.08869963771541,9.77059752705206,6.16935848179259,7.545203173752,6.09689127915782
